Diameter_mm,Biomass_g
7.103346447,5.051273043
11.03980368,9.859423175
13.03246902,6.531506902
13.70131632,2.998610278
14.70023141,7.396615571
16.1133915,10.35454115
17.13330063,9.66951491
19.23864919,15.35399594
19.79193157,9.792955282
20.48128161,16.671817
20.68695905,7.553733357
21.06069561,11.96440127
23.08379999,12.709985
23.55245435,17.79091928
23.73240091,8.62530205
24.20861669,21.48020591
25.06231514,14.16945061
24.85743782,9.529344523
25.68680282,19.00893212
26.43329491,13.38120414
28.24533628,19.72598654
28.86988578,15.72199307
29.91565295,22.20826467
30.3045304,17.82242936
31.3323347,25.23407985
31.31707422,21.0018385
31.75471103,16.35541627
32.60881074,13.00449622
32.93871277,24.75174959
33.39356002,17.98676218
34.51383766,26.8790266
34.38895345,22.31687788
34.91668365,17.45281474
36.07177525,28.26724267
35.92630608,23.36627177
36.42382617,19.57526569
35.81467845,16.03652864
37.09147242,34.61193087
37.43737676,26.57813299
38.00255018,19.66236648
38.52511026,35.25174086
38.50984978,31.01949951
39.13425798,26.97631862
39.36362178,20.61037009
40.18193271,33.99162039
40.64115386,29.24517261
40.53073372,24.39833276
41.06275946,20.72556719
41.58890709,37.4757023
42.12091518,31.23830379
42.06752114,25.29097697
42.73802166,41.11922802
42.56885635,22.55803123
43.67293088,34.09566764
43.61208011,28.33892927
43.42934286,24.91643566
44.21677269,43.15121987
44.36945236,37.54279191
45.15706298,31.50444383
45.76496392,47.20651937
45.70290794,41.11553536
45.75211594,37.0413154
46.6867571,32.79271142
47.2642817,48.82679063
47.24902121,44.59454928
47.23376073,40.36230793
48.19813864,36.09078497
48.92052885,49.09485842
48.7793088,43.68457218
48.82869343,39.65933649
49.60676624,36.88291721
50.44541471,52.08756077
50.32316126,46.53658738
50.30790078,42.30434603
50.29793907,39.54163293
51.9587462,55.92642071
51.87492657,51.5830981
51.85966609,47.35085675
51.84025489,41.96748494
51.1501948,39.61737015
53.47824173,59.8068929
53.41595302,53.6513649
53.40069253,49.41912355
53.45287492,44.98838285
53.21996882,41.30431322
54.91524274,61.8658865
54.9631967,57.44387818
54.94793621,53.21163683
54.79950517,48.39801881
56.19305862,67.72912252
56.54552454,59.84718856
56.52824428,53.2858326
56.3883565,51.00677926
57.39413554,70.03132961
57.54851675,65.58974778
58.04411919,61.26691243
58.1572033,56.27764665
57.59075559,53.67566864
59.57567848,60.70962211
59.37510744,55.97634989
60.84987916,72.1722749
61.60577958,67.55005871
61.58446707,60.18533965
62.17734905,73.390036
62.77809791,58.24142333
62.41561247,68.58346749
62.8231946,63.47798724
63.93548951,77.29540943
64.51532812,69.64797114
64.57189789,64.07116797
65.34769223,78.38409048
65.24943015,74.76105741
65.82272784,68.35738622
65.72173309,63.97649644
66.53710309,89.96001664
65.71378492,61.77220407
67.11944521,85.36971908
67.86478671,91.23705283
68.08270281,80.78749586
68.25440144,85.87427595
68.66530158,76.96332386
69.01648316,68.7252005
69.45090829,82.1833862
69.77522622,64.89134299
69.52169999,78.18796498
69.94144813,71.73085787
70.6823447,69.27697178
70.58569496,66.10109516
71.78237138,79.69200387
72.54050448,75.68898438
72.70645363,99.68762868
73.29040409,95.54337617
73.11094199,81.21503168
73.43643846,76.97277816
74.11881531,100.8203956
74.22176,96.29074432