Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay
1.267665544,12.67665544,0.09040143,90.40142968
1.909369325,19.09369325,0.066178532,66.17853234
1.578076704,15.78076704,0.119041177,119.0411767
1.676328039,16.76328039,0.149726546,149.7265456
1.778870968,17.78870968,0.148359288,148.3592882
2.170094008,21.70094008,0.176608642,176.6086424
1.696486325,16.96486325,0.241251554,241.251554
1.874921019,18.74921019,0.30343922,303.4392199
2.133086567,21.33086567,0.323563973,323.563973
2.653631656,26.53631656,0.364546546,364.5465463
2.155418671,21.55418671,0.364546546,364.5465463
2.266250506,22.66250506,0.422180343,422.1803426
2.791072459,27.91072459,0.458516091,458.5160914
2.579724222,25.79724222,0.511874325,511.8743252
2.247375694,22.47375694,0.603776901,603.7769011
2.856573625,28.56573625,1.009215853,1009.215853